alert_event_id,severity,site_name,detection_name,creation_time,camera_name,readers_name
CVA-090,Medium,Building C,Tailgating,2025-06-10 15:30:13,CAM-090,READER-030
CVA-091,High,Building A,Person Brandishing Firearm,2025-06-10 15:56:39,CAM-091,
CVA-092,Medium,Building B,Door Propped Open,2025-06-10 16:23:22,CAM-092,READER-031
CVA-093,High,Building C,Smoke or Fire,2025-06-10 16:49:45,CAM-093,
CVA-094,Medium,Building A,Person Jumping Fence,2025-06-10 17:16:18,CAM-094,
CVA-095,High,Building B,Person Falling Down,2025-06-10 17:42:54,CAM-095,
CVA-096,Medium,Building C,Tailgating,2025-06-10 18:09:17,CAM-096,READER-032
CVA-097,High,Building A,Person Brandishing Firearm,2025-06-10 18:35:43,CAM-097,
CVA-098,Medium,Building B,Door Propped Open,2025-06-10 19:02:26,CAM-098,READER-033
CVA-099,High,Building C,Smoke or Fire,2025-06-10 19:28:49,CAM-099,
CVA-100,Medium,Building A,Person Jumping Fence,2025-06-10 19:55:15,CAM-100,
CVA-101,High,Building B,Person Falling Down,2025-06-10 20:21:38,CAM-101,
CVA-102,Medium,Building C,Tailgating,2025-06-10 20:48:24,CAM-102,READER-034
CVA-103,High,Building A,Person Brandishing Firearm,2025-06-10 21:14:47,CAM-103,
CVA-104,Medium,Building B,Door Propped Open,2025-06-10 21:41:13,CAM-104,READER-035
CVA-105,High,Building C,Smoke or Fire,2025-06-10 22:07:56,CAM-105,
CVA-106,Medium,Building A,Person Jumping Fence,2025-06-10 22:34:22,CAM-106,
CVA-107,High,Building B,Person Falling Down,2025-06-10 23:00:45,CAM-107,
CVA-108,Medium,Building C,Tailgating,2025-06-10 23:27:18,CAM-108,READER-036
CVA-109,High,Building A,Person Brandishing Firearm,2025-06-10 23:53:44,CAM-109,
CVA-110,Medium,Building B,Door Propped Open,2025-06-11 0:20:17,CAM-110,READER-037
CVA-111,High,Building C,Smoke or Fire,2025-06-11 0:46:53,CAM-111,
CVA-112,Medium,Building A,Person Jumping Fence,2025-06-11 1:13:26,CAM-112,
CVA-113,High,Building B,Person Falling Down,2025-06-11 1:39:49,CAM-113,
CVA-114,Medium,Building C,Tailgating,2025-06-11 2:06:15,CAM-114,READER-038
CVA-115,High,Building A,Person Brandishing Firearm,2025-06-11 2:32:38,CAM-115,
CVA-116,Medium,Building B,Door Propped Open,2025-06-11 2:59:24,CAM-116,READER-039
CVA-117,High,Building C,Smoke or Fire,2025-06-11 3:25:47,CAM-117,
CVA-118,Medium,Building A,Person Jumping Fence,2025-06-11 3:52:13,CAM-118,
CVA-119,High,Building B,Person Falling Down,2025-06-11 4:18:56,CAM-119,
CVA-120,Medium,Building C,Tailgating,2025-06-11 4:45:22,CAM-120,READER-040
CVA-121,High,Building A,Person Brandishing Firearm,2025-06-11 5:11:45,CAM-121,
CVA-122,Medium,Building B,Door Propped Open,2025-06-11 5:38:18,CAM-122,READER-041
CVA-123,High,Building C,Smoke or Fire,2025-06-11 6:04:54,CAM-123,
CVA-124,Medium,Building A,Person Jumping Fence,2025-06-11 6:31:17,CAM-124,
CVA-125,High,Building B,Person Falling Down,2025-06-11 6:57:43,CAM-125,
CVA-126,Medium,Building C,Tailgating,2025-06-11 7:24:26,CAM-126,READER-042
CVA-127,High,Building A,Person Brandishing Firearm,2025-06-11 7:50:52,CAM-127,
CVA-128,Medium,Building B,Door Propped Open,2025-06-11 8:17:15,CAM-128,READER-043
CVA-129,High,Building C,Smoke or Fire,2025-06-11 8:43:38,CAM-129,
CVA-130,Medium,Building A,Person Jumping Fence,2025-06-11 9:10:24,CAM-130,
CVA-131,High,Building B,Person Falling Down,2025-06-11 9:36:47,CAM-131,
CVA-132,Medium,Building C,Tailgating,2025-06-11 10:03:13,CAM-132,READER-044
CVA-133,High,Building A,Person Brandishing Firearm,2025-06-11 10:29:56,CAM-133,
CVA-134,Medium,Building B,Door Propped Open,2025-06-11 10:56:22,CAM-134,READER-045
CVA-135,High,Building C,Smoke or Fire,2025-06-11 11:22:45,CAM-135,
CVA-136,Medium,Building A,Person Jumping Fence,2025-06-11 11:49:18,CAM-136,
CVA-137,High,Building B,Person Falling Down,2025-06-11 12:15:54,CAM-137,
CVA-138,Medium,Building C,Tailgating,2025-06-11 12:42:17,CAM-138,READER-046
CVA-139,High,Building A,Person Brandishing Firearm,2025-06-11T13:,,
