serial_number,device_id,controller_id,segment_id,alarm_name,timestamp,alarm_id,badge_id,threat_level
N9P4J7L3,READER-MainEntrance,W1K6M8,S3R7J2,Granted Access,1717929169,73948526,58392047,Minor
M6T2L5W8,READER-BackDoor,J4P9N7,Q8K3L6,Door Forced Open,1717929545,85639472,,Severe
L3J9K4R7,READER-SideEntrance,B2M8W5,T6J1P9,Invalid Badge Read,1717929921,94728361,67294851,Elevated
W8N1J6T4,READER-EmergencyExit,H7K2L9,R5M3Q8,Door Held Open,1717930297,39485726,,High
K4L7M2N8,READER-MainEntrance,P6J9W3,S1K8T5,Granted Access,1717930673,76842951,36849275,Minor
T9J3L8K5,READER-BackDoor,M2Q7P4,B6W1N9,Door Forced Open,1717931049,63947582,,Severe
P1M8J4W7,READER-SideEntrance,L3T6K9,H8J2P5,Invalid Badge Read,1717931425,82736491,47382916,Elevated
J6K2L9M3,READER-EmergencyExit,R7W4J8,Q1N5T2,Door Held Open,1717931801,48372659,,High
R4W8J1L7,READER-MainEntrance,K9M3P6,L2J8T4,Granted Access,1717932177,94728351,58392047,Minor
N7L3K8J2,READER-BackDoor,T5W9M1,P7J4K6,Door Forced Open,1717932553,73829461,,Severe
M5J9L2K8,READER-SideEntrance,W3P7N4,R8J1M6,Invalid Badge Read,1717932929,85647392,67294851,Elevated
L8K4J7N1,READER-EmergencyExit,J6M2P9,T3W8K5,Door Held Open,1717933305,46829371,,High
W2N9J5K3,READER-MainEntrance,P8L4M7,J1K6W2,Granted Access,1717933681,78394562,36849275,Minor
J7M1K9L4,READER-BackDoor,R3W8N5,Q6P2J9,Door Forced Open,1717934057,69482751,,Severe
K3L8J6M2,READER-SideEntrance,T4N7W1,H9K5L3,Invalid Badge Read,1717934433,94738261,47382916,Elevated
N6J2L4K9,READER-EmergencyExit,M8P3W7,R1J6K4,Door Held Open,1717934809,37485926,,High
L9K5J8N3,READER-MainEntrance,W7M2P4,T6J9L1,Granted Access,1717935185,82947385,58392047,Minor
T1J6K3M8,READER-BackDoor,P2L7W9,B5K8J4,Door Forced Open,1717935561,63749521,,Severe
P4K7J1L6,READER-SideEntrance,J9M3W8,N2P6K5,Invalid Badge Read,1717935937,94736281,67294851,Elevated
J8L2K6N4,READER-EmergencyExit,R5W9J3,M7P1K8,Door Held Open,1717936313,48529371,,High
M1N5J9K7,READER-MainEntrance,K3L8P2,J6W4M9,Granted Access,1717936689,75839462,36849275,Minor
K6J3L1M9,READER-BackDoor,W8N4J7,P5K2L6,Door Forced Open,1717937065,69274851,,Severe
N2L6J8K4,READER-SideEntrance,T9M1P3,R7J5W8,Invalid Badge Read,1717937441,84726391,47382916,Elevated
J5K9L3N7,READER-EmergencyExit,M6P2J8,K4W9L1,Door Held Open,1717937817,52839467,,High
L8J4K7M2,READER-MainEntrance,P1N6W9,J3L5K8,Granted Access,1717938193,73948526,58392047,Minor
W3K8J5L9,READER-BackDoor,R7M2P4,N6J1W8,Door Forced Open,1717938569,85639472,,Severe
K7J2L6N4,READER-SideEntrance,T8P3M9,J5K7L2,Invalid Badge Read,1717938945,94728361,67294851,Elevated
J1L9K4M6,READER-EmergencyExit,W2N8J5,P7K3L9,Door Held Open,1717939321,39485726,,High
N4K8J2L7,READER-MainEntrance,M9P1J6,R3W5K8,Granted Access,1717939697,76842951,36849275,Minor
L6J7K1M4,READER-BackDoor,J8N3P9,T2L6K5,Door Forced Open,1717940073,63947582,,Severe
K2M9J6L8,READER-SideEntrance,P4W7N1,J9K3M6,Invalid Badge Read,1717940449,82736491,47382916,Elevated
J9L1K5N3,READER-EmergencyExit,R8J4P2,M7K6L9,Door Held Open,1717940825,48372659,,High
M7K3J9L1,READER-MainEntrance,N5P8W2,K4J7L6,Granted Access,1717941201,94728351,58392047,Minor
L4J8K2M7,READER-BackDoor,W9N1J5,P3L8K6,Door Forced Open,1717941577,73829461,,Severe
K8J5L9N2,READER-SideEntrance,J6M4P7,R1K9L3,Invalid Badge Read,1717941953,85647392,67294851,Elevated
J3L7K4M8,READER-EmergencyExit,P9W2N6,J5K1L8,Door Held Open,1717942329,46829371,,High
N1K6J8L4,READER-MainEntrance,M3P7W9,K2J6L5,Granted Access,1717942705,78394562,36849275,Minor
L9J4K7N5,READER-BackDoor,R6W1J3,P8L2K9,Door Forced Open,1717943081,69482751,,Severe
K5J2L8M6,READER-SideEntrance,J7N4P1,W3K8J5,Invalid Badge Read,1717943457,94738261,47382916,Elevated
J8K6L2N9,READER-EmergencyExit,T4M7W3,J1P5K8,Door Held Open,1717943833,37485926,,High
M2L5J9K7,READER-MainEntrance,P8J1N4,K6W2L9,Granted Access,1717944209,82947385,58392047,Minor
L6K1J4M8,READER-BackDoor,W3N7P5,J9K4L2,Door Forced Open,1717944585,63749521,,Severe
K9J6L3N1,READER-SideEntrance,R2M8J7,P4K1L6,Invalid Badge Read,1717944961,94736281,67294851,Elevated
J4L8K5M2,READER-EmergencyExit,N7P3W9,J6K2L8,Door Held Open,1717945337,48529371,,High
N8K2J6L9,READER-MainEntrance,M1W5P7,K3J8L4,Granted Access,1717945713,75839462,36849275,Minor
L1J9K8M5,READER-BackDoor,P6N2J4,W7K5L1,Door Forced Open,1717946089,69274851,,Severe
K7J3L6N8,READER-SideEntrance,J2M9P4,R5W1K8,Invalid Badge Read,1717946465,84726391,47382916,Elevated
J6L2K9M3,READER-EmergencyExit,T8J5N1,P4K7L2,Door Held Open,1717946841,52839467,,High
M9K4J7L6,READER-MainEntrance,W2P8N5,J1L6K9,Granted Access,1717947217,73948526,58392047,Minor
L3J8K1M7,READER-BackDoor,N6J2P9,K4W7L3,Door Forced Open,1717947593,85639472,,Severe
K1J5L8N4,READER-SideEntrance,P7M3W6,J8K2L5,Invalid Badge Read,1717947969,94728361,67294851,Elevated
J7K9L4M1,READER-EmergencyExit,R3J6N8,P2W5K7,Door Held Open,1717948345,39485726,,High
N5L1J8K6,READER-MainEntrance,M9P4J2,K7L3W8,Granted Access,1717948721,76842951,36849275,Minor
L8K3J6M9,READER-BackDoor,J1N7P5,W4K8J2,Door Forced Open,1717949097,63947582,,Severe
K2J7L5N8,READER-SideEntrance,P3M9W1,J6K4L7,Invalid Badge Read,1717949473,82736491,47382916,Elevated
J9L6K3M5,READER-EmergencyExit,R8N2J4,P1K9L6,Door Held Open,1717949849,48372659,,High
M6K8J2L4,READER-MainEntrance,W5P1N9,J3L7K8,Granted Access,1717950225,94728351,58392047,Minor
L4J1K9M6,READER-BackDoor,N8J5P2,K7W3L4,Door Forced Open,1717950601,73829461,,Severe
K8J4L2N7,READER-SideEntrance,P6M1J9,W2K5L8,Invalid Badge Read,1717950977,85647392,67294851,Elevated
J2L7K6M9,READER-EmergencyExit,J4N8P3,R1J7K2,Door Held Open,1717951353,46829371,,High
N7K1J5L8,READER-MainEntrance,M3W9P6,K4J2L7,Granted Access,1717951729,78394562,36849275,Minor
L5J8K4M1,READER-BackDoor,P7J3N2,W6K1L5,Door Forced Open,1717952105,69482751,,Severe
K1J6L9N4,READER-SideEntrance,R8M5J7,P2W9K1,Invalid Badge Read,1717952481,94738261,47382916,Elevated
J8K2L7M6,READER-EmergencyExit,N4P1W8,J5K9L2,Door Held Open,1717952857,37485926,,High
M3L9J1K8,READER-MainEntrance,W7N4P2,K6J3L9,Granted Access,1717953233,82947385,58392047,Minor
L7K5J3M2,READER-BackDoor,J8P6N1,W4L7K5,Door Forced Open,1717953609,63749521,,Severe
K4J9L6N3,READER-SideEntrance,P1M7W8,J2K6L4,Invalid Badge Read,1717953985,94736281,67294851,Elevated
J6L3K8M7,READER-EmergencyExit,R5J2N9,P8W1K6,Door Held Open,1717954361,48529371,,High
N2K7J4L9,READER-MainEntrance,M6W3P8,J1L5K2,Granted Access,1717954737,75839462,36849275,Minor
L9J2K5M8,READER-BackDoor,N4J7P1,K3W6L9,Door Forced Open,1717955113,69274851,,Severe
K6J8L1N5,READER-SideEntrance,P9M2J4,W7K3L6,Invalid Badge Read,1717955489,84726391,47382916,Elevated
J1L4K7M3,READER-EmergencyExit,J8N6P2,R4K9L1,Door Held Open,1717955865,52839467,,High
M8K9J5L2,READER-MainEntrance,W1P7N3,J4L8K9,Granted Access,1717956241,73948526,58392047,Minor
L2J6K3M9,READER-BackDoor,P5N8J1,K7W2L2,Door Forced Open,1717956617,85639472,,Severe
K9J3L7N6,READER-SideEntrance,M4J8P5,W1K7J3,Invalid Badge Read,1717956993,94728361,67294851,Elevated
J5L1K9M4,READER-EmergencyExit,R7N3J8,P6K2L5,Door Held Open,1717957369,39485726,,High
N3K5J7L1,READER-MainEntrance,W8P2M6,J9L4K5,Granted Access,1717957745,76842951,36849275,Minor
L7J9K2M6,READER-BackDoor,J3N5P8,K1W7L7,Door Forced Open,1717958121,63947582,,Severe
K3J1L8N9,READER-SideEntrance,P4M6W2,J7K9L3,Invalid Badge Read,1717958497,82736491,47382916,Elevated
J8K7L4M1,READER-EmergencyExit,N6J2P5,R3W8K7,Door Held Open,1717958873,48372659,,High
M1L6J9K4,READER-MainEntrance,P8W4N7,J2L3K1,Granted Access,1717959249,94728351,58392047,Minor
L4K8J2M7,READER-BackDoor,J6P9N3,W5K1L4,Door Forced Open,1717959625,73829461,,Severe
K7J5L1N8,READER-SideEntrance,R2M4J9,P6W8K7,Invalid Badge Read,1717960001,85647392,67294851,Elevated
J2L8K6M3,READER-EmergencyExit,N9P1W5,J4K7L2,Door Held Open,1717960377,46829371,,High
N6K3J8L5,READER-MainEntrance,M7J4P2,K9W1L6,Granted Access,1717960753,78394562,36849275,Minor
L8J7K4M2,READER-BackDoor,P1N6J9,W3K8J7,Door Forced Open,1717961129,69482751,,Severe
K5J2L9N6,READER-SideEntrance,J8M3P7,R4W5K2,Invalid Badge Read,1717961505,94738261,47382916,Elevated
J9K1L6M8,READER-EmergencyExit,T7N4J2,P8L9K1,Door Held Open,1717961881,37485926,,High
M4L7J3K9,READER-MainEntrance,W6P8N1,J5K2L7,Granted Access,1717962257,82947385,58392047,Minor
L1K6J8M5,READER-BackDoor,N3J9P4,K7W1L1,Door Forced Open,1717962633,63749521,,Severe
K8J4L2N1,READER-SideEntrance,P5M7W9,J1K6L8,Invalid Badge Read,1717963009,94736281,67294851,Elevated
J3L9K5M7,READER-EmergencyExit,R6J1N8,P2W4K3,Door Held Open,1717963385,48529371,,High
N9K2J6L4,READER-MainEntrance,M8P5J3,K1L9N2,Granted Access,1717963761,75839462,36849275,Minor
L6J8K1M9,READER-BackDoor,W4N7P2,J3K5L6,Door Forced Open,1717964137,69274851,,Severe
K2J5L8N7,READER-SideEntrance,P9M1J4,W6K2J5,Invalid Badge Read,1717964513,84726391,47382916,Elevated
J7K9L3M4,READER-EmergencyExit,N2P6W8,J8L7K9,Door Held Open,1717964889,52839467,,High
M5L1J7K6,READER-MainEntrance,R3W9N4,P1J6K5,Granted Access,1717965265,73948526,58392047,Minor
L9K4J2M8,READER-BackDoor,J7P3N6,K9W5L9,Door Forced Open,1717965641,85639472,,Severe
K1J6L4N2,READER-SideEntrance,M8J2P9,W3K1J6,Invalid Badge Read,1717966017,94728361,67294851,Elevated
J4L2K8M6,READER-EmergencyExit,P7N5J1,R6W2K4,Door Held Open,1717966393,39485726,,High
N8K6J9L3,READER-MainEntrance,W1M4P7,J2L8K6,Granted Access,1717966769,76842951,36849275,Minor
L3J1K7M9,READER-BackDoor,N5J8P2,K4W9L3,Door Forced Open,1717967145,63947582,,Severe
K7J9L5N4,READER-SideEntrance,P6M2W8,J1K7J9,Invalid Badge Read,1717967521,82736491,47382916,Elevated
J2K4L9M1,READER-EmergencyExit,R8J5N7,P3W6K2,Door Held Open,1717967897,48372659,,High
M6L8J4K7,READER-MainEntrance,N1P9W3,J7L2K8,Granted Access,1717968273,94728351,58392047,Minor
L8K2J6M4,READER-BackDoor,W7J3P5,K1L8K2,Door Forced Open,1717968649,73829461,,Severe
K4J7L1N9,READER-SideEntrance,P2M8J6,W5K4J7,Invalid Badge Read,1717969025,85647392,67294851,Elevated
J9L5K2M8,READER-EmergencyExit,J1N4P7,R8W9L5,Door Held Open,1717969401,46829371,,High
N1K8J3L6,READER-MainEntrance,M9W2P4,J5K1K8,Granted Access,1717969777,78394562,36849275,Minor
L5J4K9M2,READER-BackDoor,P8N6J1,K3W5L5,Door Forced Open,1717970153,69482751,,Severe
K9J2L6N8,READER-SideEntrance,R4M7W1,J6K9J2,Invalid Badge Read,1717970529,94738261,47382916,Elevated
J6K5L8M3,READER-EmergencyExit,N7J9P2,P4W1K6,Door Held Open,1717970905,37485926,,High
M2L4J8K9,READER-MainEntrance,W5P1N8,J3L2L4,Granted Access,1717971281,82947385,58392047,Minor
L7K1J5M6,READER-BackDoor,J9N3P7,K8W2L7,Door Forced Open,1717971657,63749521,,Severe
K3J8L9N5,READER-SideEntrance,P1M6W4,J2K3J8,Invalid Badge Read,1717972033,94736281,67294851,Elevated
J8L6K4M1,READER-EmergencyExit,R9J2N5,P7W8L6,Door Held Open,1717972409,48529371,,High
N4K9J1L7,READER-MainEntrance,M3W8P6,J4N4K9,Granted Access,1717972785,75839462,36849275,Minor
L1J6K3M8,READER-BackDoor,P7N9J2,K5W1L1,Door Forced Open,1717973161,69274851,,Severe
K6J3L7N2,READER-SideEntrance,W8M4P1,J9K6J3,Invalid Badge Read,1717973537,84726391,47382916,Elevated
J1L9K5M7,READER-EmergencyExit,N6J4P8,R2W1L9,Door Held Open,1717973913,52839467,,High
M9K7J2L4,READER-MainEntrance,P3W6N1,J8M9K7,Granted Access,1717974289,73948526,58392047,Minor
L4J9K6M3,READER-BackDoor,R5J1P9,K2W4L4,Door Forced Open,1717974665,85639472,,Severe
K2J5L8N9,READER-SideEntrance,M7N3W6,J1K2J5,Invalid Badge Read,1717975041,94728361,67294851,Elevated
J7K1L4M6,READER-EmergencyExit,P8J6N2,W3R7K1,Door Held Open,1717975417,39485726,,High
N5L3J9K8,READER-MainEntrance,J2W5P9,K4N5L3,Granted Access,1717975793,76842951,36849275,Minor
L8K4J1M7,READER-BackDoor,W6N2J5,P1L8K4,Door Forced Open,1717976169,63947582,,Severe
K1J7L5N6,READER-SideEntrance,R9M8P3,J7K1J7,Invalid Badge Read,1717976545,82736491,47382916,Elevated
J6L2K9M5,READER-EmergencyExit,N4J8W1,P6J6L2,Door Held Open,1717976921,48372659,,High
M3K6J8L2,READER-MainEntrance,P1W9N5,J2M3K6,Granted Access,1717977297,94728351,58392047,Minor
L9J1K4M8,READER-BackDoor,J7P3N6,K9L9J1,Door Forced Open,1717977673,73829461,,Severe
K5J9L7N1,READER-SideEntrance,W2M6P4,J5K5J9,Invalid Badge Read,1717978049,85647392,67294851,Elevated
J1K3L6M9,READER-EmergencyExit,R8N7J4,P1J1K3,Door Held Open,1717978425,46829371,,High
N7L5J2K4,READER-MainEntrance,M1P8W3,K7N7L5,Granted Access,1717978801,78394562,36849275,Minor
L2K9J6M1,READER-BackDoor,J4N1P8,W2L2K9,Door Forced Open,1717979177,69482751,,Severe
K8J4L1N7,READER-SideEntrance,P6W2M9,J4K8J4,Invalid Badge Read,1717979553,94738261,47382916,Elevated
J4L7K3M6,READER-EmergencyExit,N9J6P1,R4J4L7,Door Held Open,1717979929,37485926,,High
M1K5J9L8,READER-MainEntrance,W8P4N2,J9M1K5,Granted Access,1717980305,82947385,58392047,Minor
L6J2K8M4,READER-BackDoor,R3J9N7,K6L6J2,Door Forced Open,1717980681,63749521,,Severe
K9J6L2N5,READER-SideEntrance,P7M1W8,J2K9J6,Invalid Badge Read,1717981057,94736281,67294851,Elevated
J3L1K7M2,READER-EmergencyExit,J5N8P4,W3J3L1,Door Held Open,1717981433,48529371,,High
N8K2J5L9,READER-MainEntrance,M6W1P7,K2N8K2,Granted Access,1717981809,75839462,36849275,Minor
L5J8K1M3,READER-BackDoor,P9N4J6,W5L5J8,Door Forced Open,1717982185,69274851,,Severe
K1J3L9N8,READER-SideEntrance,R2M7P5,J8K1J3,Invalid Badge Read,1717982561,84726391,47382916,Elevated
J7K6L4M9,READER-EmergencyExit,N1J5W3,P7J7K6,Door Held Open,1717982937,52839467,,High
M4L9J7K1,READER-MainEntrance,W3P6N9,J1M4L9,Granted Access,1717983313,73948526,58392047,Minor
L9K3J4M6,READER-BackDoor,J8N2P5,K9L9K3,Door Forced Open,1717983689,85639472,,Severe
K6J1L8N4,READER-SideEntrance,P4M9W7,J4K6J1,Invalid Badge Read,1717984065,94728361,67294851,Elevated
J2L5K9M8,READER-EmergencyExit,R7J3N1,W2J2L5,Door Held Open,1717984441,39485726,,High
N9K7J3L6,READER-MainEntrance,M5W2P8,K7N9K7,Granted Access,1717984817,76842951,36849275,Minor
L3J5K2M9,READER-BackDoor,P1N8J4,W3L3J5,Door Forced Open,1717985193,63947582,,Severe
K8J2L6N1,READER-SideEntrance,J6M4P9,J2K8J2,Invalid Badge Read,1717985569,82736491,47382916,Elevated
J5K9L1M4,READER-EmergencyExit,R3N7W6,P5J5K9,Door Held Open,1717985945,48372659,,High
M2L6J8K5,READER-MainEntrance,N4P1J9,J8M2L6,Granted Access,1717986321,94728351,58392047,Minor
L7K1J9M3,READER-BackDoor,W6J7P2,K1L7K1,Door Forced Open,1717986697,73829461,,Severe
K4J8L3N7,READER-SideEntrance,P9M5W1,J9K4J8,Invalid Badge Read,1717987073,85647392,67294851,Elevated
J9L4K6M2,READER-EmergencyExit,J1N3P8,W4J9L4,Door Held Open,1717987449,46829371,,High
N6K8J7L1,READER-MainEntrance,R5W9M4,K8N6K8,Granted Access,1717987825,78394562,36849275,Minor
L1J4K5M8,READER-BackDoor,P7J2N6,W1L1J4,Door Forced Open,1717988201,69482751,,Severe
K5J9L2N3,READER-SideEntrance,M8W3P7,J4K5J9,Invalid Badge Read,1717988577,94738261,47382916,Elevated
J8K2L9M6,READER-EmergencyExit,N1J6P4,R8J8K2,Door Held Open,1717988953,37485926,,High
M9L3J5K7,READER-MainEntrance,W4P8N2,J5M9L3,Granted Access,1717989329,82947385,58392047,Minor
L4K7J1M9,READER-BackDoor,J9N5P3,K7L4K7,Door Forced Open,1717989705,63749521,,Severe
K2J6L8N5,READER-SideEntrance,P6M2W9,J1K2J6,Invalid Badge Read,1717990081,94736281,67294851,Elevated
J6L9K3M1,READER-EmergencyExit,R4J8N7,W6J6L9,Door Held Open,1717990457,48529371,,High
N3K1J8L4,READER-MainEntrance,M7W5P1,K1N3K1,Granted Access,1717990833,75839462,36849275,Minor
L8J3K6M2,READER-BackDoor,P2N9J7,W8L8J3,Door Forced Open,1717991209,69274851,,Severe
K9J7L4N6,READER-SideEntrance,J5M1P8,J3K9J7,Invalid Badge Read,1717991585,84726391,47382916,Elevated
J4K5L2M8,READER-EmergencyExit,R9N6W3,P4J4K5,Door Held Open,1717991961,52839467,,High
M1L8J6K9,READER-MainEntrance,N3P7J4,J6M1L8,Granted Access,1717992337,73948526,58392047,Minor
L5K2J9M7,READER-BackDoor,W1J8P6,K2L5K2,Door Forced Open,1717992713,85639472,,Severe
K7J1L5N2,READER-SideEntrance,P8M9W4,J9K7J1,Invalid Badge Read,1717993089,94728361,67294851,Elevated
J1L6K8M5,READER-EmergencyExit,J4N2P9,W1J1L6,Door Held Open,1717993465,39485726,,High
N5K9J2L8,READER-MainEntrance,R6W4M1,K9N5K9,Granted Access,1717993841,76842951,36849275,Minor
L2J7K4M1,READER-BackDoor,P3J1N8,W2L2J7,Door Forced Open,1717994217,63947582,,Severe
K6J4L9N7,READER-SideEntrance,M9W6P2,J7K6J4,Invalid Badge Read,1717994593,82736491,47382916,Elevated
J9K8L6M3,READER-EmergencyExit,N5J3W7,P9J9K8,Door Held Open,1717994969,48372659,,High
M7L1J3K6,READER-MainEntrance,W2P5N9,J3M7L1,Granted Access,1717995345,94728351,58392047,Minor
L3K6J8M4,READER-BackDoor,J7N4P1,K6L3K6,Door Forced Open,1717995721,73829461,,Severe
K8J5L1N9,READER-SideEntrance,P1M8W3,J8K8J5,Invalid Badge Read,1717996097,85647392,67294851,Elevated
J2L7K5M6,READER-EmergencyExit,R6J9N4,W2J2L7,Door Held Open,1717996473,46829371,,High
N4K3J9L7,READER-MainEntrance,M8W1P6,K3N4K3,Granted Access,1717996849,78394562,36849275,Minor
L9J6K2M8,READER-BackDoor,P4J5N2,W9L9J6,Door Forced Open,1717997225,69482751,,Severe
K1J2L7N4,READER-SideEntrance,J8M3P6,J2K1J2,Invalid Badge Read,1717997601,94738261,47382916,Elevated
J6K4L9M1,READER-EmergencyExit,R2N8W5,P6J6K4,Door Held Open,1717997977,37485926,,High
M3L5J1K8,READER-MainEntrance,N7P9J6,J1M3L5,Granted Access,1717998353,82947385,58392047,Minor
L8K9J4M2,READER-BackDoor,W5J2P8,K9L8K9,Door Forced Open,1717998729,63749521,,Severe
K5J8L6N3,READER-SideEntrance,P9M7W1,J4K5J8,Invalid Badge Read,1717999105,94736281,67294851,Elevated
J7L2K1M9,READER-EmergencyExit,J6N5P3,W7J7L2,Door Held Open,1717999481,48529371,,High
N1K6J5L2,READER-MainEntrance,R4W3M8,K6N1K6,Granted Access,1717999857,75839462,36849275,Minor
L6J9K3M7,READER-BackDoor,M1J4P9,W6L6J9,Door Forced Open,1718000233,69274851,,Severe
K3J1L8N6,READER-SideEntrance,P7N2W5,J9K3J1,Invalid Badge Read,1718000609,84726391,47382916,Elevated
J8K7L4M5,READER-EmergencyExit,N9J1P6,P8J8K7,Door Held Open,1718000985,52839467,,High
M5L9J7K3,READER-MainEntrance,W6P4N1,J7M5L9,Granted Access,1718001361,73948526,58392047,Minor
L9K1J2M6,READER-BackDoor,J3N8P5,K1L9K1,Door Forced Open,1718001737,85639472,,Severe
K2J6L9N8,READER-SideEntrance,P8M6W2,J2K2J6,Invalid Badge Read,1718002113,94728361,67294851,Elevated
J4L8K7M1,READER-EmergencyExit,R1J4N9,W4J4L8,Door Held Open,1718002489,39485726,,High
N8K4J6L9,READER-MainEntrance,M9W7P3,K4N8K4,Granted Access,1718002865,76842951,36849275,Minor
L1J8K9M5,READER-BackDoor,P6J7N4,W1L1J8,Door Forced Open,1718003241,63947582,,Severe
K7J3L5N1,READER-SideEntrance,J2M9P7,J8K7J3,Invalid Badge Read,1718003617,82736491,47382916,Elevated
J3K6L2M8,READER-EmergencyExit,R5N1W8,P3J3K6,Door Held Open,1718003993,48372659,,High
M6L2J9K4,READER-MainEntrance,N8P6J1,J9M6L2,Granted Access,1718004369,94728351,58392047,Minor
L2K8J5M9,READER-BackDoor,W4J9P7,K8L2K8,Door Forced Open,1718004745,73829461,,Severe
K9J7L3N5,READER-SideEntrance,P1M4W6,J5K9J7,Invalid Badge Read,1718005121,85647392,67294851,Elevated
J5L1K6M3,READER-EmergencyExit,J8N9P2,W5J5L1,Door Held Open,1718005497,46829371,,High
N2K5J8L6,READER-MainEntrance,R7W2M5,K5N2K5,Granted Access,1718005873,78394562,36849275,Minor
L7J4K1M8,READER-BackDoor,M3J6P9,W7L7J4,Door Forced Open,1718006249,69482751,,Severe
K4J9L7N2,READER-SideEntrance,P6N3W1,J4K4J9,Invalid Badge Read,1718006625,94738261,47382916,Elevated
J8L5K2M6,READER-EmergencyExit,N4J7P5,R8J8L5,Door Held Open,1718007001,37485926,,High
M1K7J4L9,READER-MainEntrance,W9P1N6,J4M1K7,Granted Access,1718007377,82947385,58392047,Minor
L5J1K8M2,READER-BackDoor,J5N2P8,K7L5J1,Door Forced Open,1718007753,63749521,,Severe
K8J6L4N9,READER-SideEntrance,P2M5W9,J1K8J6,Invalid Badge Read,1718008129,94736281,67294851,Elevated
J6L9K1M4,READER-EmergencyExit,R3J8N7,W6J6L9,Door Held Open,1718008505,48529371,,High
N9K2J7L5,READER-MainEntrance,M6W8P4,J7N9K2,Granted Access,1718008881,75839462,36849275,Minor
L4J8K5M1,READER-BackDoor,P9J3N6,K2L4J8,Door Forced Open,1718009257,69274851,,Severe
K1J5L9N7,READER-SideEntrance,J6M2P8,J8K1J5,Invalid Badge Read,1718009633,84726391,47382916,Elevated
J7K3L6M9,READER-EmergencyExit,R4N1W5,P7J7K3,Door Held Open,1718010009,52839467,,High
M3L7J2K6,READER-MainEntrance,N8P5J9,J2M3L7,Granted Access,1718010385,73948526,58392047,Minor
L8K6J9M4,READER-BackDoor,W2J4P7,K6L8K6,Door Forced Open,1718010761,85639472,,Severe
K6J2L4N8,READER-SideEntrance,P5M8W3,J9K6J2,Invalid Badge Read,1718011137,94728361,67294851,Elevated
J2L4K8M7,READER-EmergencyExit,J1N6P9,W2J2L4,Door Held Open,1718011513,39485726,,High
N5K8J3L1,READER-MainEntrance,R9W6M2,K8N5K8,Granted Access,1718011889,76842951,36849275,Minor
L9J6K2M5,READER-BackDoor,M4J1P8,W9L9J6,Door Forced Open,1718012265,63947582,,Severe
K2J9L5N4,READER-SideEntrance,P7N4W6,J6K2J9,Invalid Badge Read,1718012641,82736491,47382916,Elevated
